Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Danny Grigsby Jr,M,SBD,Raw,29.0,24-34,24-39,Open,121.6,125,337.5,355.0,365.0,,365.0,200.0,210.0,-217.5,,210.0,450.0,-475.0,-482.5,,450.0,1025.0,1,586.1,587.52,562.98,118.47,,USA,OR,WRPF,WRPF,2023-10-28,USA,VA,Manassas,The American Pro 2
Jason Vowels,M,SBD,Raw,29.0,24-34,24-39,TOpen,122.4,125,250.0,259.0,-273.0,,259.0,152.0,-159.0,-159.0,,152.0,273.0,283.0,-295.0,,283.0,694.0,4,395.98,397.22,380.57,79.98,Yes,USA,MI,USPC,,2023-11-11,USA,MI,Troy,Michigan Texas Power Bar Open
Federico Passafiume,M,SBD,Raw,18.5,18-19,19-23,Junior,57.81,59,155.0,157.5,167.5,,167.5,90.0,95.0,-102.5,,95.0,165.0,175.0,180.0,,180.0,442.5,3,385.29,390.68,382.32,74.03,Yes,,,FIPL,IPF,2022-11-06,Italy,,S.Zenone al Lambro,2 gara nazionale trofeo next generation di powerlifting maschile junior
Pavel Beketov,M,SBD,Raw,25.0,24-34,24-39,Amateur Open,88.7,90,140.0,150.0,160.0,,160.0,105.0,112.5,-115.0,,112.5,180.0,190.0,200.0,,200.0,472.5,2,307.79,303.91,291.46,63.27,Yes,Russia,,WPC-RUS,WPC,2014-06-21,Russia,LEN,St. Petersburg,St. Petersburg Championships
Daniel Martinez #11,M,SBD,Raw,29.5,24-34,24-39,MR-O,118.9,120,200.0,217.5,235.0,,235.0,130.0,140.0,150.0,,150.0,210.0,227.5,242.5,,242.5,627.5,4,361.49,361.55,346.42,73.24,Yes,USA,NY,USAPL,IPF,2018-02-18,USA,NY,,Murder of Crows Barbell Club Open
Roi Mashiach,M,SBD,Raw,22.0,20-23,19-23,J,97.0,100,210.0,-225.0,225.0,,225.0,-150.0,160.0,170.0,,170.0,230.0,245.0,255.0,,255.0,650.0,2,405.52,400.62,382.89,83.32,,,,ILPL,,2023-08-04,Israel,,Petah Tikva,Summer Challenge
Mario Wanger,M,SBD,Raw,32.0,24-34,24-39,Open,110.3,120,190.0,200.0,210.0,,210.0,132.5,140.0,145.0,,145.0,215.0,230.0,245.0,,245.0,600.0,5,355.0,352.8,337.22,72.42,Yes,Switzerland,,KDKS,IPF,2022-05-21,Switzerland,,Subingen,Deutschschweizer Meisterschaft
Taylor Engels,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,82.85,83,185.0,-195.0,195.0,,195.0,-132.5,137.5,145.0,,145.0,225.0,237.5,242.5,,242.5,582.5,1,393.64,389.24,374.45,80.71,Yes,USA,MO,USAPL,IPF,2021-04-10,USA,MO,,Springfield Showdown
Terrence Curry,M,SBD,Raw,30.0,24-34,24-39,O-U,104.33,110,260.0,272.5,-282.5,,272.5,142.5,-155.0,160.0,,160.0,272.5,295.0,-307.5,,295.0,727.5,1,439.89,435.71,416.04,90.09,,USA,CT,365Strong,,2023-08-19,USA,CT,Norwood,All New England Regional
Jahan Djalali,M,SBD,Raw,28.5,24-34,24-39,MR-O,84.7,93,90.0,97.5,105.0,,105.0,47.5,55.0,-60.0,,55.0,110.0,115.0,125.0,,125.0,285.0,5,190.25,188.01,180.68,39.05,Yes,USA,OR,USAPL,IPF,2018-11-10,USA,OR,,Lift for Pit 3
Steven Lopez,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,80.5,83,140.0,150.0,155.0,,155.0,92.5,-95.0,-95.0,,92.5,145.0,152.5,160.0,,160.0,407.5,1,279.96,277.11,266.93,57.29,Yes,USA,WA,USAPL,IPF,2017-12-02,USA,WA,,Merry Muscle Madness
Haiyang Sun,M,SBD,Raw,24.0,24-34,24-39,Open,98.5,100,230.0,242.5,252.5,,252.5,140.0,152.5,160.0,,160.0,205.0,220.0,225.0,,225.0,637.5,3,395.0,390.37,372.96,81.12,Yes,China,,IPL-China,IPL,2021-10-09,China,BJ,Beijing,Drug Tested DO-WIN Cup
Alexander Guzman,M,SBD,Raw,26.0,24-34,24-39,M_OR_APF,82.3,82.5,160.0,172.5,185.0,,185.0,95.0,97.5,105.0,,105.0,160.0,180.0,-210.0,,180.0,470.0,1,318.81,315.32,303.43,65.34,,,,APF,WPC,2020-03-14,USA,MI,,Michigan State Meet
Ethan Ewer,M,SBD,Raw,19.5,20-23,19-23,Juniors,86.0,93,172.5,182.5,190.0,,190.0,112.5,120.0,125.0,,125.0,202.5,215.0,-227.5,,215.0,530.0,4,350.89,346.63,332.9,72.07,Yes,Canada,BC,CPU,IPF,2022-11-19,Canada,BC,Victoria,Victoria Barbell Open III
Douglas McMillan,M,SBD,Raw,36.5,35-39,24-39,MR-O,104.3,105,215.0,230.0,240.0,,240.0,165.0,172.5,-182.5,,172.5,247.5,262.5,275.0,,275.0,687.5,2,415.75,411.79,393.21,85.15,Yes,USA,MD,USAPL,IPF,2016-04-16,USA,MD,,Equinox Open
Paul Whitmarsh,M,SBD,Raw,18.5,18-19,19-23,MR-T3,119.8,125,230.0,237.5,-242.5,,237.5,122.5,127.5,-132.5,,127.5,235.0,245.0,250.0,,250.0,615.0,1,353.39,353.71,338.95,71.54,Yes,USA,CO,USAPL,,2023-07-23,USA,CO,,Rocky Mountain State Games
Noah Jones #6,M,SBD,Raw,23.0,20-23,19-23,MR-Jr,88.55,90,-192.5,202.5,-215.0,,202.5,110.0,117.5,-122.5,,117.5,200.0,212.5,-217.5,,212.5,532.5,4,347.17,342.81,328.79,71.36,Yes,USA,KY,USAPL,,2023-10-14,USA,OH,,Beyond Limits Fall Classic
Marcus Torre,M,SBD,Raw,20.0,20-23,19-23,Juniors 20-23,107.8,110,155.0,170.0,177.5,,177.5,100.0,117.5,125.0,,125.0,185.0,207.5,215.0,,215.0,517.5,1,308.87,306.49,292.78,63.12,Yes,USA,MA,USPA,IPL,2022-10-16,USA,MA,North Dartmouth,Drug Tested Southeastern Mass Challenge
Robert Lynch #3,M,SBD,Raw,18.0,18-19,14-18,Sub-Juniors,90.02,93,202.5,-215.0,215.0,,215.0,117.5,122.5,130.0,,130.0,245.0,255.0,-265.0,,255.0,600.0,7,387.92,382.99,367.06,79.76,Yes,Ireland,,EPF,IPF,2022-11-25,Poland,,Skierniewice,European Classic Powerlifting Championships
Arnaud Sidaoui,M,SBD,Raw,29.5,24-34,24-39,Seniors,59.22,66,80.0,87.5,-92.5,,87.5,55.0,60.0,62.5,,62.5,95.0,105.0,115.0,,115.0,265.0,1,226.1,228.75,223.54,43.76,Yes,,,FFForce,IPF,2020-10-17,France,,Bordeaux,Premier Pas FA PL DC BP Nouvelle-Aquitaine
Philip Smerud,M,SBD,Raw,34.0,24-34,24-39,Open,87.91,90,,,,,197.5,,,,,145.0,,,,,205.0,547.5,3,358.3,353.82,339.46,73.64,,,,USPA,IPL,2012-06-29,USA,CA,Costa Mesa,National PL BP DL Championship
Jered Fenstermaker,M,SBD,Raw,19.0,18-19,19-23,Juniors 18-19,110.0,110,212.5,225.0,-252.5,,225.0,127.5,137.5,-152.5,,137.5,227.5,255.0,-272.5,,255.0,617.5,1,365.72,363.39,347.31,74.62,,USA,PA,USPA,IPL,2022-07-23,USA,PA,King of Prussia,PWRBLD Summer Showdown Presented by Texas Power Bar
Shawn Anello,M,SBD,Raw,23.0,20-23,,Juniors 20-23,152.4,140+,,,,,245.0,,,,,152.5,,,,,245.0,642.5,1,344.05,354.7,334.95,67.79,,USA,AL,USPA,IPL,2018-08-12,USA,AL,Birmingham,Ultimate Warrior Classic II
Robbie Hyde,M,SBD,Raw,26.5,24-34,24-39,MR-O,92.39,93,215.0,230.0,240.0,,240.0,132.5,140.0,142.5,,142.5,230.0,245.0,255.0,,255.0,637.5,49,406.9,401.73,384.6,83.67,Yes,USA,FL,USAPL,IPF,2017-10-10,USA,FL,Orlando,Raw National Championships
Luis Recinos,M,SBD,Raw,21.0,20-23,19-23,Juniors 20-23,110.0,110,177.5,187.5,192.5,,192.5,127.5,130.0,,,130.0,175.0,182.5,-197.5,,182.5,505.0,3,299.09,297.19,284.04,61.03,Yes,USA,CA,USPA,IPL,2021-08-14,USA,CA,Van Nuys,Drug Tested Valley Classic
Quinn Munro,M,SBD,Raw,23.0,20-23,,J20-23,93.9,100,195.0,205.0,220.0,,220.0,120.0,130.0,135.0,,135.0,225.0,245.0,260.0,-272.5,260.0,615.0,1,389.5,384.59,367.96,80.08,Yes,Canada,,WRPF-CAN,WRPF,2023-04-15,Canada,MB,Selkirk,Drug Tested Steele Town Showdown
Sergio Ballestero,M,SBD,Raw,26.5,24-34,24-39,Open,73.49,74,195.0,205.0,-212.5,,205.0,130.0,-135.0,-135.0,,130.0,-222.5,222.5,235.0,,235.0,570.0,2,414.35,412.04,398.47,83.98,Yes,,,AEP,IPF,2019-07-12,Spain,,León,Campeonato de España de Masters de Powerlifting & Open de Powerlifting
林智偉,M,SBD,Raw,26.0,24-34,24-39,Open,73.7,74,150.0,160.0,-170.0,,160.0,90.0,97.5,105.0,,105.0,170.0,180.0,-190.0,,180.0,445.0,5,322.88,321.02,310.42,65.47,Yes,,,IPF-China,IPF,2023-10-06,China,,Zhuhai,粤港澳大湾区邀请赛
Hyunsub Yun,M,SBD,Raw,22.5,20-23,19-23,MR-C,92.08,93,172.5,185.0,195.0,,195.0,112.5,-120.0,-122.5,,112.5,182.5,192.5,195.0,,195.0,502.5,67,321.26,317.17,303.69,66.06,Yes,USA,TX,USAPL,IPF,2018-04-19,USA,TX,College Station,Collegiate Nationals
Aleksandr Belobrov,M,SBD,Raw,25.5,24-34,24-39,Open,92.1,93,,,,,257.5,,,,,162.5,,,,,285.0,705.0,3,450.67,444.94,426.02,92.67,Yes,Russia,,FPR,IPF,2017-12-05,Russia,LEN,Vyborg,North-West Federal District Powerlifting Championships
Travis Echols,M,SBD,Raw,17.0,16-17,14-18,Sub-Juniors 17-19,101.5,110,145.0,157.5,170.0,,170.0,85.0,92.5,97.5,,97.5,165.0,177.5,190.0,,190.0,457.5,1,279.81,276.81,264.33,57.39,,USA,FL,WRPF,WRPF,2019-11-23,USA,FL,Gainesville,American Barbell Club Open
Sergio Solís,M,SBD,Raw,31.0,24-34,24-39,Open,66.0,66,160.0,180.0,192.5,,192.5,90.0,97.5,105.0,,105.0,190.0,205.0,-210.0,,205.0,502.5,1,393.72,394.56,383.4,78.33,Yes,,,FEMEPO,IPF,2019-11-16,Mexico,DF,Mexico City,IV Campeonato Selectivo del EDOMEX y CDMX
Jordy Pacheco,M,SBD,Raw,23.0,20-23,19-23,Juniors 20-23,65.2,67.5,,,,,175.0,,,,,112.5,,,,,222.5,510.0,1,403.25,404.51,393.3,80.02,,USA,CA,USPA,IPL,2016-08-27,USA,CA,Anaheim,Anaheim Fit Expo
Jason Roberts #5,M,SBD,Raw,24.0,24-34,24-39,Open,78.9,82.5,125.0,130.0,137.5,,137.5,95.0,100.0,105.0,,105.0,157.5,167.5,172.5,,172.5,415.0,4,288.53,285.83,275.58,58.95,,USA,CA,USPA,IPL,2019-12-07,USA,CA,Huntington Beach,Heavy Holiday Open
Kyle Langel,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,90.79,93,175.0,182.5,192.5,,192.5,127.5,132.5,142.5,,142.5,215.0,227.5,-235.0,,227.5,562.5,4,362.13,357.52,342.52,74.46,Yes,USA,CO,USAPL,IPF,2021-04-17,USA,CO,,Revenge of the Kilo Monster
Pablo Esteban Zapata Díaz,M,SBD,Raw,27.0,24-34,24-39,Open,104.3,105,,,,,192.5,,,,,92.5,,,,,237.5,522.5,1,315.97,312.96,298.84,64.71,Yes,,,FECHIPO,IPF,2019-11-01,Chile,,Santiago,Campeonato SBC
Seokchan Oh,M,SBD,Raw,18.5,18-19,19-23,MR-Jr,72.3,74,167.5,180.0,187.5,,187.5,-112.5,112.5,120.0,,120.0,-207.5,207.5,-220.0,,207.5,515.0,1,378.43,376.71,364.56,76.53,Yes,,,APU,IPF,2023-07-01,Australia,NSW,,First Nations Cup II
Marko Basic,M,SBD,Raw,20.5,20-23,19-23,Open,72.9,74,25.0,27.5,30.0,,30.0,72.5,77.5,-82.5,,77.5,165.0,175.0,180.0,,180.0,287.5,5,210.1,209.04,202.22,42.54,Yes,,,PA,IPF,2016-05-22,Australia,VIC,Melbourne,Obsidian Strength V
Daniel Farnham,M,SBD,Raw,25.0,24-34,24-39,Open,86.7,90,,,,,200.0,,,,,150.0,,,,,265.0,615.0,2,405.41,400.43,384.42,83.29,,USA,CA,USPA,IPL,2018-11-10,USA,CA,Vista,Monger Mayhem
Clement Heck,M,SBD,Raw,20.5,20-23,19-23,MR-C,98.49,100,-257.5,257.5,-260.0,,257.5,137.5,145.0,-155.0,,145.0,142.5,,,,142.5,545.0,51,337.7,333.74,318.85,69.35,Yes,USA,KS,USAPL,,2023-04-13,USA,TX,Arlington,Collegiate Nationals
Todd Schaffer,M,SBD,Raw,19.5,20-23,19-23,MR-Jr,90.5,93,-207.5,220.0,232.5,,232.5,-122.5,132.5,140.0,,140.0,237.5,255.0,262.5,,262.5,635.0,3,409.45,404.25,387.34,84.19,Yes,USA,GA,USAPL,IPF,2015-12-12,USA,GA,,Georgia & Southern States
Matthew Molloy,M,SBD,Raw,26.0,24-34,24-39,Open,88.4,90,197.5,210.0,222.5,,222.5,112.5,117.5,-127.5,,117.5,202.5,-215.0,215.0,,215.0,555.0,6,362.16,357.62,343.01,74.44,Yes,USA,PA,USPA,IPL,2022-03-19,USA,PA,King of Prussia,Drug Tested PWRBLD Gym St. Patty's Barbell Bash
Igor Trukhlyaev,M,SBD,Raw,20.5,20-23,19-23,Pro Open,60.9,67.5,105.0,110.0,115.0,,115.0,80.0,87.5,92.5,,92.5,135.0,150.0,-157.5,,150.0,357.5,2,298.11,300.82,293.51,58.16,Yes,,,WPC-RUS,WPC,2007-12-15,Russia,MOW,Pushkino,Golden Sable
Mike Beelen,M,SBD,Raw,30.5,24-34,24-39,Open,82.18,83,200.0,210.0,,,210.0,102.5,110.0,-115.0,,110.0,245.0,250.0,-255.0,,250.0,570.0,4,386.97,382.74,368.34,79.3,Yes,Netherlands,,KNKF-SP,IPF,2022-02-05,Netherlands,,Groningen,Northside Barbell Cup
Usama Tahir,M,SBD,Raw,23.5,24-34,24-39,MR-O,108.9,120,195.0,217.5,-227.5,,217.5,117.5,127.5,-135.0,,127.5,195.0,217.5,222.5,,222.5,567.5,2,337.39,335.02,320.1,68.9,Yes,USA,MO,USAPL,,2021-12-12,USA,MO,,MO River Open
Vladislav Denisyuk,M,SBD,Raw,19.0,18-19,19-23,Juniors,119.39,120,,,,,290.0,,,,,180.0,,,,,300.0,770.0,1,442.97,443.22,424.7,89.71,Yes,Ukraine,,UkrainePF,IPF,2019-09-23,Ukraine,,Kharkiv,Ukrainian Classic Powerlifting Championships
Ali Boushehri,M,SBD,Raw,22.0,20-23,19-23,Juniors,81.55,83,180.0,-195.0,-195.0,,180.0,110.0,-115.0,117.5,,117.5,205.0,220.0,-225.0,,220.0,517.5,1,352.88,349.11,336.09,72.28,Yes,Kuwait,,KPC,IPF,2023-09-21,Kuwait,,Ahmadi,Challenge Strength
Nick Yanky,M,SBD,Raw,21.0,20-23,19-23,Juniors 20-23,81.6,82.5,195.0,205.0,-215.0,,205.0,125.0,132.5,-137.5,,132.5,197.5,210.0,-222.5,,210.0,547.5,1,373.2,369.21,355.43,76.44,Yes,USA,OH,USPA,IPL,2023-04-22,USA,OH,Cincinnati,Drug Tested Natty in the Nati
Alexander Hooper,M,SBD,Raw,22.0,20-23,19-23,M_JR_AAPF,96.3,100,170.0,177.5,185.0,,185.0,120.0,125.0,130.0,,130.0,100.0,,,,100.0,415.0,1,259.76,256.58,245.28,53.38,Yes,USA,UT,APF,WPC,2021-12-04,USA,UT,Murray,Winter Classic
Chris George,M,SBD,Raw,21.5,20-23,19-23,MR-O,82.1,83,70.3,79.4,-88.5,,79.4,-61.2,-68.0,74.9,,74.9,104.3,115.7,129.3,,129.3,283.5,21,192.57,190.47,183.31,39.46,Yes,USA,,USAPL,IPF,2015-12-05,USA,LA,,La Tech Collegiate Qualifier
T. Makeev,M,SBD,Raw,17.5,18-19,14-18,Teen,74.55,83,,,,,175.0,,,,,120.0,,,,,190.0,485.0,4,349.3,347.05,335.42,70.93,Yes,,,KPF,IPF,2017-10-02,Kazakhstan,,Kostanay,Kazakhstan Classic Powerlifting Championship
Bryce Alig,M,SBD,Raw,19.0,18-19,19-23,MR-O,72.7,74,197.5,205.0,-210.0,,205.0,107.5,-115.0,-115.0,,107.5,197.5,205.0,215.0,,215.0,527.5,12,386.19,384.3,371.82,78.16,Yes,USA,TN,USAPL,IPF,2018-12-08,USA,GA,,Season of Strength
Anthony Marty,M,SBD,Raw,26.0,24-34,24-39,Seniors,73.6,74,122.5,132.5,-137.5,,132.5,80.0,87.5,92.5,,92.5,155.0,170.0,-175.0,,170.0,395.0,2,286.85,285.23,275.82,58.15,Yes,,,FFForce,IPF,2017-12-16,France,,L'Hôpital,Régional FA PL DC BP Grand Est
Lucas Tanton,M,SBD,Raw,19.0,18-19,19-23,DT Int,138.1,140,222.5,232.5,242.5,,242.5,152.5,167.5,-182.5,,167.5,227.5,245.0,-260.0,,245.0,655.0,1,360.34,366.78,348.97,71.79,Yes,USA,TX,RawIronPL,,2021-06-12,USA,TX,Henderson,Henderson Star Showdown
Caleb Sanderson,M,SBD,Raw,23.5,24-34,24-39,MR-O,67.1,67.5,150.0,155.0,-162.5,,155.0,-112.5,120.0,-125.0,,120.0,152.5,160.0,167.5,,167.5,442.5,1,342.53,342.81,332.85,68.38,Yes,USA,CO,USAPL,,2022-10-01,USA,CO,,Nightmare Before Liftmass II
Sergei Jurku,M,SBD,Raw,18.0,18-19,14-18,T 18-19,98.15,100,185.0,195.0,-205.0,,195.0,125.0,135.0,142.5,,142.5,195.0,212.5,222.5,,222.5,560.0,1,347.53,343.42,328.13,71.38,Yes,Moldova,,WPC,WPC,2009-10-01,Russia,ROS,Rostov-on-Don,Raw World Championships
Til Metzger,M,SBD,Raw,18.5,18-19,19-23,Juniors,102.0,105,155.0,167.5,-180.0,,167.5,107.5,115.0,-120.0,,115.0,220.0,230.0,245.0,,245.0,527.5,11,321.95,318.56,304.19,66.02,Yes,,,BVDK,IPF,2023-09-30,Germany,HE,Langen,LM Hessen KDK Classic JJM
Robert Mendez,M,SBD,Raw,16.5,16-17,14-18,MR-T2,99.7,100,160.0,-172.5,-172.5,,160.0,107.5,112.5,-122.5,,112.5,197.5,207.5,220.0,,220.0,492.5,1,303.54,300.09,286.64,62.31,Yes,USA,WV,USAPL,,2022-07-09,USA,WV,,Viking Summer Raid
Thomas Murillo-Bailo,M,SBD,Raw,27.5,24-34,24-39,Seniors,92.1,93,205.0,210.0,220.0,,220.0,140.0,-150.0,-150.0,,140.0,250.0,-260.0,260.0,,260.0,620.0,1,396.34,391.3,374.66,81.5,Yes,,,FFForce,IPF,2022-05-21,France,,Montpellier,Grand Prix de l'Université
Nicholas Caplette,M,SBD,Raw,19.5,20-23,19-23,MR-Jr,72.4,75,125.0,132.5,142.5,,142.5,77.5,85.0,-87.5,,85.0,170.0,177.5,185.0,,185.0,412.5,2,302.83,301.43,291.69,61.25,Yes,USA,LA,USAPL,,2022-11-19,USA,LA,,Pelican State Open & Collegiate South Regionals
Brendon Weldon,M,SBD,Raw,21.0,20-23,19-23,Juniors,94.53,100,,,,,190.01,,,,,125.01,,,,,217.5,532.52,1,336.2,331.99,317.56,69.11,,USA,KY,SPF,,2016-04-02,USA,KY,Paducah,Own The Day
Nick Hersey,M,SBD,Raw,24.0,24-34,24-39,M_OR_CPF,80.1,82.5,120.0,135.0,-145.0,,135.0,80.0,-90.0,-90.0,,80.0,150.0,170.0,-182.5,,170.0,385.0,4,265.28,262.63,253.04,54.26,,,,CPF,WPC,2014-06-28,Canada,NS,Amherst,Nationals
Henry Van Haneghan,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,81.4,83,160.0,165.0,180.0,,180.0,97.5,105.0,112.5,,112.5,170.0,180.0,195.0,,195.0,487.5,1,332.77,329.25,316.99,68.15,Yes,USA,AL,USAPL,IPF,2021-03-20,USA,AL,,Iron City Open
Bruce Tran,M,SBD,Raw,23.5,24-34,24-39,MR-O,90.6,93,145.0,-157.5,160.0,,160.0,80.0,85.0,90.0,,90.0,162.5,175.0,185.0,,185.0,435.0,1,280.34,276.77,265.18,57.64,Yes,,,APU,IPF,2023-09-10,Australia,NSW,,Omni Fitness Open
Morgan Bailey,M,SBD,Raw,17.5,18-19,14-18,MR-V,66.84,67.5,80.0,85.0,90.0,,90.0,60.0,62.5,65.0,,65.0,140.0,145.0,150.0,,150.0,305.0,31,236.76,237.03,230.18,47.23,Yes,USA,NE,USAPL,,2022-03-22,USA,IL,Lombard,High School Nationals
Philip Ammar,M,SBD,Raw,35.5,35-39,24-39,MR-O,122.9,120+,197.5,207.5,217.5,,217.5,112.5,117.5,125.0,,125.0,225.0,227.5,232.5,,232.5,575.0,3,327.65,328.82,315.0,66.15,Yes,USA,OH,USAPL,IPF,2018-08-04,USA,MI,,Unreal BarBellum
Gianmaria Loi,M,SBD,Raw,29.5,24-34,24-39,Open,90.66,93,215.0,-225.0,225.0,,225.0,135.0,145.0,-147.5,,145.0,225.0,245.0,-260.0,,245.0,615.0,18,396.21,391.17,374.78,81.47,Yes,,,FIPL,IPF,2019-06-13,Italy,,San Zenone al Lambro,2° Trials Classic Senior di Powerlifting
Austin Foxworthy,M,SBD,Raw,29.5,24-34,24-39,MR-O,109.05,110,150.0,160.0,165.0,,165.0,-137.5,142.5,-150.0,,142.5,170.0,180.0,192.5,,192.5,500.0,7,297.11,295.04,281.92,60.66,Yes,USA,NC,USAPL,,2022-04-09,USA,SC,,Upstate Classic
Aleksey Veselovzorov,M,SBD,Raw,18.5,18-19,19-23,Open,72.1,74,,,,,155.0,,,,,100.0,,,,,160.0,415.0,3,305.51,304.18,294.4,61.76,Yes,,,FPR,IPF,2019-04-19,Russia,TUL,Tula,Tula Oblast Classic Powerlifting Championships
Albert Kapitanov,M,SBD,Raw,29.0,24-34,24-39,Amateur Open,87.6,90,140.0,155.0,160.0,,160.0,100.0,105.0,-107.5,,105.0,165.0,175.0,-177.5,,175.0,440.0,4,288.48,284.89,273.37,59.28,Yes,Russia,,WPC,WPC,2017-06-04,Russia,MOW,Moscow,Amateur European Championships
Mark Bogle,M,SBD,Raw,22.5,20-23,19-23,MR-O,68.65,,192.5,215.0,-222.5,,215.0,130.0,137.5,145.0,,145.0,240.0,255.0,270.0,,270.0,630.0,16,479.73,479.29,464.88,96.19,Yes,USA,NC,USAPL,,2023-06-03,USA,SC,,Carolina Primetime Pro Qualifier
Matt Marstin,M,SBD,Raw,22.0,20-23,19-23,Juniors 20-23,79.6,82.5,,,,,200.0,,,,,147.5,,,,,237.5,585.0,2,404.58,400.65,386.12,82.72,,USA,VA,USPA,IPL,2016-03-19,USA,VA,Vinton,2nd Annual Virginia Open
Josiah Richard,M,SBD,Raw,33.5,24-34,24-39,MR-O,94.5,100,230.0,242.5,252.5,,252.5,152.5,160.0,-167.5,,160.0,225.0,240.0,250.0,,250.0,662.5,2,418.32,413.08,395.13,86.0,Yes,USA,PA,USAPL,,2023-01-28,USA,PA,,Pittsburgh Winter Classic
Johannes Frenkel,M,SBD,Raw,23.0,20-23,24-39,Open,117.1,120,255.0,265.0,270.0,,270.0,170.0,177.5,182.5,,182.5,290.0,300.0,310.0,,310.0,762.5,3,441.55,440.98,422.37,89.59,Yes,,,BVDK,IPF,2022-08-21,Germany,,Erfurt,DM Kraftdreikampf Equipped/Classic - Aktive
Andrew Center,M,SBD,Raw,33.5,24-34,24-39,MR-O,81.25,83,107.5,115.0,122.5,,122.5,92.5,-102.5,-102.5,,92.5,145.0,155.0,172.5,,172.5,387.5,7,264.79,262.0,252.27,54.22,Yes,USA,OH,USAPL,,2021-11-13,USA,OH,,Fall Beginner's Brawl
Frans Simula,M,SBD,Raw,18.5,18-19,19-23,Open,81.86,83,190.0,200.0,205.0,,205.0,140.0,145.0,147.5,,147.5,250.0,260.0,-270.0,,260.0,612.5,9,416.75,412.25,396.8,85.38,Yes,,,SVNL,IPF,2015-01-09,Finland,,Ylitornio,Klassisen voimanoston SM-kisat
Aleksandar Nikolic,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,90.45,100,-170.0,-170.0,170.0,,170.0,102.5,107.5,110.0,,110.0,217.5,227.5,-232.5,,227.5,507.5,4,327.33,323.17,309.66,67.3,Yes,USA,NY,USAPL,,2022-10-29,USA,NY,,Squats & Science Fall Brawl
Logan Willard,M,SBD,Raw,23.5,24-34,24-39,MR-Jr,92.2,93,165.0,180.0,195.0,,195.0,125.0,-132.5,-132.5,,125.0,207.5,220.0,-240.0,,220.0,540.0,6,345.01,340.63,326.13,70.94,Yes,USA,TX,USAPL,IPF,2015-07-11,USA,TX,Houston,Summer Power Fest
Sinclair Pitts,M,SBD,Raw,24.5,24-34,24-39,MR-O,129.7,140,227.5,247.5,265.0,,265.0,185.0,197.5,-210.0,,197.5,307.5,317.5,330.0,,330.0,792.5,1,444.06,448.42,428.42,89.12,Yes,USA,AR,USAPL,,2022-11-05,USA,AR,,Arkansas State Championships
Tatum Susberry,M,SBD,Raw,32.0,24-34,24-39,MR-O,154.7,120+,-230.0,230.0,240.0,,240.0,182.5,192.5,205.0,,205.0,237.5,257.5,272.5,,272.5,717.5,1,382.68,395.26,372.43,75.28,Yes,USA,IL,USAPL,IPF,2019-03-24,USA,IL,,Men's Chicagoland Raw Open
Tony Pinto Da Rocha,M,SBD,Raw,39.0,35-39,24-39,Masters 1,76.5,83,95.0,100.0,110.0,,110.0,145.0,155.0,-160.0,,155.0,-165.0,165.0,177.5,,177.5,442.5,3,313.52,311.05,300.3,63.86,Yes,,,FFForce,IPF,2017-12-10,France,,Vendôme,Régional FA PL Centre
Ken Gildner,M,SBD,Raw,30.0,24-34,24-39,Open,86.85,93,160.0,170.0,175.0,,175.0,120.0,130.0,-132.5,,130.0,-215.0,225.0,232.5,,232.5,537.5,1,354.0,349.64,335.63,72.73,Yes,Germany,,BVDK,IPF,2015-04-25,Germany,NRW,Herten,LM KDK NRW
Maldonado Maldonado,M,SBD,Raw,25.5,24-34,24-39,MR-O,73.0,74,192.5,-200.0,-200.0,,192.5,-110.0,110.0,115.0,,115.0,225.0,-235.0,-235.0,,225.0,532.5,3,388.79,386.79,374.16,78.73,Yes,USA,TX,USAPL,IPF,2019-10-12,USA,TX,,Muscle Beach Powerlifting Classic
Nicalai Solta,M,SBD,Raw,21.0,20-23,19-23,Juniors 20-23,98.8,100,-215.0,215.0,-225.0,,215.0,170.0,175.0,-177.5,,175.0,245.0,250.0,255.0,,255.0,645.0,2,399.11,394.47,376.84,81.95,,,,GPA,GPA,2017-11-11,Ukraine,,Kiev,European Cup
Levi Murphy,M,SBD,Raw,24.0,24-34,24-39,M-NF-R-T,114.35,125,132.5,145.0,165.0,,165.0,-105.0,105.0,115.0,,115.0,177.5,192.5,-210.0,,192.5,472.5,1,275.9,274.97,263.15,56.11,Yes,,,365Strong,,2020-08-22,USA,KY,Greensburg,Kentucky Power Revolution
