Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Brad Wolf,M,SBD,Raw,32.5,24-34,24-39,MR-O,107.6,120,197.5,217.5,227.5,,227.5,130.0,137.5,142.5,,142.5,220.0,235.0,245.0,,245.0,615.0,2,367.33,364.46,348.14,75.08,Yes,USA,MT,USAPL,IPF,2016-08-06,USA,MT,,Montana State Raw Championship
Theo Ketty,M,SBD,Raw,25.0,24-34,24-39,Open,76.0,83,,,,,130.0,,,,,90.0,,,,,180.0,400.0,4,284.57,282.43,272.74,57.92,Yes,,,NZPF,IPF,2017-09-09,New Zealand,STL,Queenstown,Club and Novice 3-lift
Rodolphe Paradis,M,SBD,Raw,26.5,24-34,24-39,Seniors,103.3,105,180.0,195.0,210.0,,210.0,135.0,-140.0,140.0,,140.0,235.0,245.0,-255.0,,245.0,595.0,4,361.24,357.63,341.49,74.02,Yes,,,FFForce,IPF,2023-03-19,France,,Fourchambault,Challenge de Printemps
Anthony Tang,M,SBD,Raw,22.0,20-23,19-23,Juniors 20-23,80.24,82.5,,,,,150.0,,,,,82.5,,,,,195.0,427.5,5,294.26,291.3,280.64,60.2,,USA,CA,USPA,IPL,2015-01-10,USA,CA,Oceanside,Camp Pendleton Open
Trevor Marquardt,M,SBD,Raw,17.5,18-19,14-18,MR-V,150.7,120+,227.5,242.5,255.0,,255.0,117.5,125.0,130.0,,130.0,217.5,237.5,252.5,,252.5,637.5,4,342.39,352.49,333.17,67.54,Yes,USA,WI,USAPL,IPF,2018-03-22,USA,WI,Appleton,High School National Championships
Dmitiy Litvinov,M,SBD,Raw,17.5,18-19,14-18,Open,65.75,66,,,,,170.0,,,,,122.5,,,,,160.0,452.5,6,355.55,356.41,346.39,70.68,Yes,,,FPR,IPF,2019-04-09,Russia,NIZ,Novgorod,Russian Classic Student's Powerlifting Championships
Richard Nguyen #1,M,SBD,Raw,19.5,20-23,19-23,MR-C,66.04,67.5,150.0,157.5,170.0,,170.0,110.0,117.5,-125.0,,117.5,-207.5,217.5,227.5,,227.5,515.0,33,403.34,404.17,392.73,80.25,Yes,USA,TX,USAPL,,2023-04-13,USA,TX,Arlington,Collegiate Nationals
Ville Nivala,M,SBD,Raw,17.5,18-19,14-18,Under 18,69.3,74,125.0,132.5,137.5,,137.5,70.0,75.0,80.0,,80.0,170.0,180.0,190.0,,190.0,407.5,1,308.25,307.75,298.37,61.91,Yes,,,SVNL,IPF,2020-09-05,Finland,,Kajaani,Syyskuun Power-Cup
Marcus Pierre,M,SBD,Raw,28.0,24-34,24-39,MR-O,82.78,83,-232.5,237.5,242.5,,242.5,165.0,-172.5,-172.5,,165.0,287.5,302.5,-310.0,,302.5,710.0,18,480.03,474.67,456.66,98.41,Yes,USA,LA,USAPL,IPF,2019-10-16,USA,IL,Lombard,Raw Nationals
Thomas Miller #4,M,SBD,Raw,23.0,20-23,,Juniors 20-23,100.0,100,205.0,230.0,-242.5,,230.0,142.5,152.5,-155.0,,152.5,207.5,227.5,-232.5,,227.5,610.0,1,375.46,371.24,354.58,77.06,Yes,USA,,NORCAL,,2014-06-29,USA,CA,Walnut Creek,State Championship
